OBJECTID,Name,Jurisdiction,Area_km2,Accessible,Bridge to,Jumps,Buffer Distance (km)
5811,Absalom Island,BRITISH COLUMBIA,1.159547074,yes,no,3,1.1
2004,Addenbroke Island,BRITISH COLUMBIA,2.691021628,yes,no,1,1.1
3105,Alert Bay,BRITISH COLUMBIA,4.59447843,yes,no,3,2
45,Allan Island,USA,1.146985043,yes,no,2,1.1
4574,Alma Russell Islands A,BRITISH COLUMBIA,1.128954746,yes,no,3,1.1
4587,Alma Russell Islands B,BRITISH COLUMBIA,1.288878276,yes,no,3,1.1
6011,Anderson Island A,USA,20.81225929,yes,no,1,1.1
644,Anderson Island B,BRITISH COLUMBIA,1.04887225,yes,no,5,2
4832,Anger Island,BRITISH COLUMBIA,42.16042393,yes,no,2,1.1
1063,Anthony Island,BRITISH COLUMBIA,1.507820894,no,no,NA,NA
4990,Antle Islands,BRITISH COLUMBIA,1.287844697,no,no,NA,NA
3903,Anvil Island,BRITISH COLUMBIA,9.238856893,yes,no,1,2
620,Aristazabal Island,BRITISH COLUMBIA,425.8127063,yes,no,3,2
5412,Arthur Island,BRITISH COLUMBIA,3.285014139,yes,no,3,2
5260,Ashdown Island,BRITISH COLUMBIA,4.566639036,yes,no,2,1.1
1344,Athlone Island,BRITISH COLUMBIA,42.45011955,yes,no,5,1.1
6168,Bainbridge Island,USA,72.29903362,yes,yes,1,1.1
2795,Baker Island,BRITISH COLUMBIA,13.51329237,yes,no,2,1.1
2568,Balaklava Island,BRITISH COLUMBIA,5.883518547,yes,no,4,2
4762,Banks Island,BRITISH COLUMBIA,1009.702905,no,no,NA,NA
5259,Barnard Island,BRITISH COLUMBIA,12.94600045,no,no,NA,NA
5540,Baron Island,BRITISH COLUMBIA,12.01423885,no,no,NA,NA
4294,Beaver Island,BRITISH COLUMBIA,3.632155601,yes,yes,1,1.1
2617,Bell Island,BRITISH COLUMBIA,1.293535394,yes,no,6,2
3091,Berry Island,BRITISH COLUMBIA,1.114036717,yes,no,3,1.1
1710,Bilton Island,BRITISH COLUMBIA,1.069532963,yes,no,3,1.1
2008,Blair Island,BRITISH COLUMBIA,3.096439,yes,no,1,1.1
5990,Blake Island,USA,2.042989689,yes,no,1,2
286,Blakely Island,USA,17.39477665,no,no,NA,NA
4250,Bligh Island,BRITISH COLUMBIA,23.2626522,yes,no,3,1.1
3740,Bodega Island,BRITISH COLUMBIA,1.270569913,yes,no,3,1.1
4846,Bonilla Island,BRITISH COLUMBIA,7.24810903,no,no,NA,NA
2876,Bonwick Island,BRITISH COLUMBIA,12.68000805,yes,no,2,1.1
5386,Botany Island,BRITISH COLUMBIA,1.055811861,no,no,NA,NA
4028,Bowen Island,BRITISH COLUMBIA,51.12490973,yes,no,2,2
4205,Bowyer Island,BRITISH COLUMBIA,1.084715132,yes,no,1,2
2158,Bramham Island,BRITISH COLUMBIA,22.34165024,yes,no,1,1.1
5351,Brew Island,BRITISH COLUMBIA,2.403623459,yes,no,2,1.1
5445,Brooke Island,BRITISH COLUMBIA,2.629134355,yes,no,1,1.1
2595,Broughton Island,BRITISH COLUMBIA,133.2788562,yes,no,1,1.1
3599,Bunsby Islands A,BRITISH COLUMBIA,2.42041003,yes,no,3,1.1
3620,Bunsby Islands B,BRITISH COLUMBIA,2.158681048,yes,no,3,1.1
896,Burnaby Island,BRITISH COLUMBIA,65.69290222,no,no,NA,NA
332,Burrows Island,USA,1.968144552,yes,no,1,1.1
1551,Calvert Island,BRITISH COLUMBIA,325.7821778,no,no,NA,NA
6054,Campania Island,BRITISH COLUMBIA,167.2475045,no,no,NA,NA
1048,Campbell Island,BRITISH COLUMBIA,134.3094902,yes,no,2,1.1
4023,Captain Island,BRITISH COLUMBIA,1.517397279,yes,no,1,1.1
3994,Catala Island,BRITISH COLUMBIA,2.612582616,yes,no,3,1.1
2100,Cathcart Island,BRITISH COLUMBIA,1.069217101,yes,no,2,2
383,Cecilia Island A,BRITISH COLUMBIA,4.473377027,yes,no,1,1.1
365,Cecilia Island B,BRITISH COLUMBIA,1.314992236,yes,no,1,1.1
1266,Chatfield Island,BRITISH COLUMBIA,46.67925249,yes,no,1,1.1
1444,Clare Island,BRITISH COLUMBIA,1.090229989,yes,no,3,1.1
185,Coal Island,BRITISH COLUMBIA,1.393183921,yes,no,3,1.1
839,Cone Island,BRITISH COLUMBIA,5.205570036,yes,no,3,1.1
3499,Cortes Island,BRITISH COLUMBIA,127.7193473,yes,no,3,2
4831,Cosine Island,BRITISH COLUMBIA,2.36229115,yes,no,2,1.1
5835,Coste Island,BRITISH COLUMBIA,11.2779996,yes,no,1,2
3034,Crease Island,BRITISH COLUMBIA,4.460176335,yes,no,3,1.1
5979,Croasdaile Island,BRITISH COLUMBIA,1.314938046,yes,no,2,1.1
1269,Cunningham Island,BRITISH COLUMBIA,114.2709205,yes,no,1,1.1
1323,Cunningham Islet A,BRITISH COLUMBIA,1.088904186,yes,no,2,1.1
9,Cypress Island,USA,21.86009607,yes,no,2,2
1109,Cypress Island B,BRITISH COLUMBIA,1.28159245,yes,no,2,1.1
2762,Davies Island,BRITISH COLUMBIA,1.536904023,yes,no,2,1.1
4326,De Courcy Island,BRITISH COLUMBIA,1.963929007,yes,no,4,1.1
5960,De Horsey Island,BRITISH COLUMBIA,10.09675521,yes,no,1,1.1
1327,Dearth Island,BRITISH COLUMBIA,2.558218077,yes,no,2,1.1
323,Decatur Island,USA,9.119387666,no,no,NA,NA
4898,Deer Group Islands,BRITISH COLUMBIA,3.04591389,yes,no,4,1.1
3882,Denman Island,BRITISH COLUMBIA,52.16710045,yes,no,3,2
1088,Denny Island,BRITISH COLUMBIA,126.0881755,yes,no,1,1.1
2386,Deserters Island,BRITISH COLUMBIA,1.520735458,yes,no,5,2
5283,Dewdney/Glide Island,BRITISH COLUMBIA,36.40599036,no,no,NA,NA
4666,Diana Island,BRITISH COLUMBIA,1.76119681,yes,no,3,2
2626,Dickson Island,BRITISH COLUMBIA,1.364752851,yes,no,1,1.1
5717,Digby Island,BRITISH COLUMBIA,34.33839263,yes,no,1,1.1
91,Discovery Island 3,BRITISH COLUMBIA,1.151291875,yes,no,4,2
4702,Dixon Island,BRITISH COLUMBIA,2.03553042,yes,no,3,1.1
1791,Dodwell Island,BRITISH COLUMBIA,1.721042422,yes,no,3,1.1
444,Dolphin Island,BRITISH COLUMBIA,15.10913083,yes,no,4,1.1
229,Dowager Island,BRITISH COLUMBIA,94.20018838,yes,no,1,1.1
3235,Drake Island,BRITISH COLUMBIA,5.696711321,yes,no,3,1.1
1365,Duck Island,BRITISH COLUMBIA,1.020987592,no,no,NA,NA
1180,Dufferin Island,BRITISH COLUMBIA,40.70222643,yes,no,4,1.1
5499,Dundas Island,BRITISH COLUMBIA,149.6732187,no,no,NA,NA
5564,Dunira Island,BRITISH COLUMBIA,19.2156131,no,no,NA,NA
3381,East Redonda Island,BRITISH COLUMBIA,100.6841868,yes,no,1,2
2428,East Thurlow Island,BRITISH COLUMBIA,106.2358303,yes,no,1,1.1
2775,Eden Island,BRITISH COLUMBIA,13.34184265,yes,no,2,1.1
4909,Effingham Island,BRITISH COLUMBIA,2.226723404,yes,no,7,2
6030,Elliott Island,BRITISH COLUMBIA,1.924488326,yes,no,3,1.1
5199,Estevan Group,BRITISH COLUMBIA,58.87946833,no,no,NA,NA
5270,Estevan Group,BRITISH COLUMBIA,13.73908975,no,no,NA,NA
5285,Estevan Group,BRITISH COLUMBIA,1.111305027,no,no,NA,NA
729,Faraday Island,BRITISH COLUMBIA,3.251328743,no,no,NA,NA
5045,Farrant Island,BRITISH COLUMBIA,55.08837043,yes,no,1,1.1
5137,Fin Island,BRITISH COLUMBIA,11.92969728,yes,no,2,2
5523,Finlayson Island,BRITISH COLUMBIA,6.495232629,yes,no,1,1.1
4050,Flores Island,BRITISH COLUMBIA,152.2049853,yes,no,3,1.1
6003,Fox Island,USA,13.33373753,yes,yes,1,1.1
5417,Frederick Island,BRITISH COLUMBIA,4.694286692,no,no,NA,NA
4397,Gabriola Island,BRITISH COLUMBIA,52.76993112,yes,no,3,1.1
4524,Galiano Island,BRITISH COLUMBIA,58.29032758,yes,no,5,1.1
3911,Gambier Island,BRITISH COLUMBIA,70.39678709,yes,no,1,2
5767,Gibson Island,BRITISH COLUMBIA,2.050813527,yes,no,7,2
4962,Gil Island,BRITISH COLUMBIA,237.4871761,yes,no,4,2
2665,Gilford Island,BRITISH COLUMBIA,390.2413527,yes,no,1,1.1
1350,Goose Group,BRITISH COLUMBIA,3.036548234,no,no,NA,NA
1800,Goose Island,BRITISH COLUMBIA,18.00433092,no,no,NA,NA
4273,Gore Island,BRITISH COLUMBIA,4.222256778,yes,no,3,1.1
5813,Goschen Island,BRITISH COLUMBIA,34.86797044,yes,no,3,1.1
3671,Gowlland Island,BRITISH COLUMBIA,1.223858397,yes,no,3,1.1
6083,Graham Island,BRITISH COLUMBIA,6468.667995,no,no,NA,NA
2098,Greaves Island,BRITISH COLUMBIA,37.92954156,yes,no,1,1.1
2574,Gregory Island,BRITISH COLUMBIA,3.357539214,yes,no,1,1.1
4991,Gribbell Island,BRITISH COLUMBIA,207.0795261,yes,no,1,2
26,Guemes Island,USA,21.52752973,yes,no,1,1.1
5766,Gurd Island,BRITISH COLUMBIA,13.63815551,yes,no,3,1.1
3148,Hanson Island,BRITISH COLUMBIA,14.54215281,yes,no,2,1.1
3123,Harbledown Island,BRITISH COLUMBIA,35.7932609,yes,no,2,1.1
3297,Hardwicke Island,BRITISH COLUMBIA,76.53645324,yes,no,1,1.1
3714,Hardy Island,BRITISH COLUMBIA,7.339222922,yes,no,2,1.1
6002,Harstine Island,USA,48.89680587,yes,yes,1,1.1
3546,Harwood Island,BRITISH COLUMBIA,8.825972017,no,no,NA,NA
787,Hastings Island,BRITISH COLUMBIA,6.411653085,yes,no,2,1.1
402,Hat Island,USA,1.826331764,no,no,NA,NA
599,Hawkesbury Island,BRITISH COLUMBIA,369.3745994,yes,no,1,2
1538,Hecate Island,BRITISH COLUMBIA,46.24049245,no,no,NA,NA
2461,Helmcken Island,BRITISH COLUMBIA,1.294679372,yes,no,2,2
8,Henry Island,USA,4.126988376,no,no,NA,NA
6028,Henry Island B,BRITISH COLUMBIA,5.610386329,yes,no,3,1.1
3826,Hernando Island,BRITISH COLUMBIA,10.02290344,yes,no,5,2
6005,Herron Island,USA,1.239338597,yes,no,1,1.1
5213,Hibben Island,BRITISH COLUMBIA,33.58542555,no,no,NA,NA
5069,Hinton Island,BRITISH COLUMBIA,5.664051935,yes,no,2,1.1
595,Hippa Island,BRITISH COLUMBIA,5.109836373,no,no,NA,NA
5492,Hogan island,BRITISH COLUMBIA,7.233507133,yes,no,1,1.1
3407,Hohoae Island,BRITISH COLUMBIA,6.874794482,yes,no,3,1.1
2289,Hope Island 1,BRITISH COLUMBIA,36.48344184,yes,no,4,2
3913,Hornby Island,BRITISH COLUMBIA,30.3600213,yes,no,4,2
